region,year,anomaly
Coral Sea,1956,0.051
Coral Sea,1957,-0.303
Coral Sea,1958,-0.097
Coral Sea,1959,-0.3
Coral Sea,1960,-0.138
Coral Sea,1961,-0.318
Coral Sea,1962,0.026
Coral Sea,1963,-0.166
Coral Sea,1964,0.075
Coral Sea,1965,-0.619
Coral Sea,1966,-0.536
Coral Sea,1967,-0.302
Coral Sea,1968,-0.005
Coral Sea,1969,0.04
Coral Sea,1970,0.316
Coral Sea,1971,0.201
Coral Sea,1972,-0.288
Coral Sea,1973,0.412
Coral Sea,1974,0.097
Coral Sea,1975,0.199
Coral Sea,1976,-0.039
Coral Sea,1977,-0.094
Coral Sea,1978,0.034
Coral Sea,1979,-0.032
Coral Sea,1980,-0.033
Coral Sea,1981,0.222
Coral Sea,1982,-0.337
Coral Sea,1983,0.081
Coral Sea,1984,0.028
Coral Sea,1985,0.115
Coral Sea,1986,0.185
Coral Sea,1987,-0.031
Coral Sea,1988,0.405
Coral Sea,1989,0.231
Coral Sea,1990,0.133
Coral Sea,1991,-0.144
Coral Sea,1992,-0.148
Coral Sea,1993,-0.274
Coral Sea,1994,-0.233
Coral Sea,1995,0.23
Coral Sea,1996,0.373
Coral Sea,1997,-0.171
Coral Sea,1998,0.727
Coral Sea,1999,0.191
Coral Sea,2000,0.118
Coral Sea,2001,0.319
Coral Sea,2002,0.349
Coral Sea,2003,0.393
Coral Sea,2004,0.255
Coral Sea,2005,0.355
Coral Sea,2006,0.091
Coral Sea,2007,0.24
Coral Sea,2008,0.275
Coral Sea,2009,0.353
Coral Sea,2010,0.582
Coral Sea,2011,0.296
Coral Sea,2012,0.185
Coral Sea,2013,0.227
Coral Sea,2014,0.123
Coral Sea,2015,0.144
Coral Sea,2016,0.728
Coral Sea,2017,0.621
Coral Sea,2018,0.467
Coral Sea,2019,0.155
Coral Sea,2020,0.622
Coral Sea,2021,0.506
Coral Sea,2022,0.86
Coral Sea,2023,0.431
Coral Sea,2024,0.75
Bass Strait,1900,-0.413
Bass Strait,1901,-0.88
Bass Strait,1902,-0.609
Bass Strait,1903,-0.703
Bass Strait,1904,-0.575
Bass Strait,1905,-1.016
Bass Strait,1906,-0.905
Bass Strait,1907,-1.173
Bass Strait,1908,-0.775
Bass Strait,1909,-1.152
Bass Strait,1910,-0.471
Bass Strait,1911,-0.326
Bass Strait,1912,-0.444
Bass Strait,1913,-0.627
Bass Strait,1914,-0.083
Bass Strait,1915,-0.488
Bass Strait,1916,-0.428
Bass Strait,1917,-0.474
Bass Strait,1918,-0.082
Bass Strait,1919,-0.404
Bass Strait,1920,-0.33
Bass Strait,1921,0.016
Bass Strait,1922,-0.139
Bass Strait,1923,-0.509
Bass Strait,1924,-1.073
Bass Strait,1925,-0.866
Bass Strait,1926,-0.913
Bass Strait,1927,-0.829
Bass Strait,1928,-0.27
Bass Strait,1929,-0.929
Bass Strait,1930,-0.377
Bass Strait,1931,-1.029
Bass Strait,1932,-0.623
Bass Strait,1933,-1.008
Bass Strait,1934,-0.211
Bass Strait,1935,-0.457
Bass Strait,1936,-0.488
Bass Strait,1937,-0.53
Bass Strait,1938,-0.128
Bass Strait,1939,-0.181
Bass Strait,1940,-0.796
Bass Strait,1941,-0.501
Bass Strait,1942,-0.133
Bass Strait,1943,-0.403
Bass Strait,1944,-0.993
Bass Strait,1945,-0.468
Bass Strait,1946,-0.418
Bass Strait,1947,-0.61
Bass Strait,1948,-1.099
Bass Strait,1949,-0.986
Bass Strait,1950,-0.17
Bass Strait,1951,0.198
Bass Strait,1952,-0.677
Bass Strait,1953,-0.465
Bass Strait,1954,-0.604
Bass Strait,1955,-0.362
Bass Strait,1956,-0.171
Bass Strait,1957,-0.717
Bass Strait,1958,-0.52
Bass Strait,1959,0.049
Bass Strait,1960,-0.345
Bass Strait,1961,0.416
Bass Strait,1962,-0.075
Bass Strait,1963,0.006
Bass Strait,1964,-0.573
Bass Strait,1965,-0.611
Bass Strait,1966,-0.372
Bass Strait,1967,-0.201
Bass Strait,1968,-0.426
Bass Strait,1969,-0.345
Bass Strait,1970,-0.241
Bass Strait,1971,0.018
Bass Strait,1972,0.09
Bass Strait,1973,0.266
Bass Strait,1974,0.415
Bass Strait,1975,-0.007
Bass Strait,1976,0.141
Bass Strait,1977,0.016
Bass Strait,1978,-0.002
Bass Strait,1979,0.026
Bass Strait,1980,-0.274
Bass Strait,1981,0.117
Bass Strait,1982,0.172
Bass Strait,1983,-0.082
Bass Strait,1984,-0.203
Bass Strait,1985,0.222
Bass Strait,1986,-0.002
Bass Strait,1987,-0.279
Bass Strait,1988,0.515
Bass Strait,1989,0.692
Bass Strait,1990,0.582
Bass Strait,1991,0.012
Bass Strait,1992,0.056
Bass Strait,1993,0.203
Bass Strait,1994,-0.175
Bass Strait,1995,-0.52
Bass Strait,1996,-0.486
Bass Strait,1997,0.141
Bass Strait,1998,0.151
Bass Strait,1999,0.619
Bass Strait,2000,0.461
Bass Strait,2001,0.722
Bass Strait,2002,0.301
Bass Strait,2003,0.292
Bass Strait,2004,-0.05
Bass Strait,2005,0.401
Bass Strait,2006,-0.021
Bass Strait,2007,0.495
Bass Strait,2008,0.143
Bass Strait,2009,0.511
Bass Strait,2010,0.775
Bass Strait,2011,0.349
Bass Strait,2012,0.351
Bass Strait,2013,0.769
Bass Strait,2014,0.779
Bass Strait,2015,0.655
Bass Strait,2016,0.868
Bass Strait,2017,0.933
Bass Strait,2018,0.751
Bass Strait,2019,0.435
Bass Strait,2020,0.222
Bass Strait,2021,0.424
Bass Strait,2022,0.745
Bass Strait,2023,0.709
Bass Strait,2024,1.026
Southwest Australia,1900,-0.497
Southwest Australia,1901,-0.495
Southwest Australia,1902,-0.401
Southwest Australia,1903,-0.68
Southwest Australia,1904,-0.258
Southwest Australia,1905,-0.628
Southwest Australia,1906,-0.502
Southwest Australia,1907,-0.43
Southwest Australia,1908,-0.773
Southwest Australia,1909,-0.339
Southwest Australia,1910,-0.293
Southwest Australia,1911,-0.362
Southwest Australia,1912,-0.339
Southwest Australia,1913,-0.234
Southwest Australia,1914,-0.32
Southwest Australia,1915,-0.057
Southwest Australia,1916,-0.486
Southwest Australia,1917,-0.471
Southwest Australia,1918,0.245
Southwest Australia,1919,-0.091
Southwest Australia,1920,0.113
Southwest Australia,1921,0.022
Southwest Australia,1922,-0.394
Southwest Australia,1923,-0.42
Southwest Australia,1924,-0.502
Southwest Australia,1925,-0.209
Southwest Australia,1926,-0.479
Southwest Australia,1927,-0.417
Southwest Australia,1928,-0.321
Southwest Australia,1929,-0.718
Southwest Australia,1930,-0.334
Southwest Australia,1931,-0.524
Southwest Australia,1932,-0.111
Southwest Australia,1933,-0.188
Southwest Australia,1934,0.101
Southwest Australia,1935,-0.424
Southwest Australia,1936,-0.4
