incident_id,year,month,state,location,lat,lon,species,activity,outcome,time
1073,2017,10.0,NSW,"port stephens, birubi",-32.7851,152.0746,Other,Boarding,Injured,0900
1074,2017,11.0,NSW,"central coast, avoca beach",-33.4692,151.4359,White shark,Boarding,Injured,1600
1075,2017,12.0,NSW,"port stephens, birubi",-32.7856,152.0751,Other,Boarding,Uninjured,540
1076,2018,1.0,WA,"kimberley, cone bay",-16.4683,123.5353,Bull shark,Swimming,Injured,800
1077,2018,1.0,NSW,"wollongong, five islands",-34.4902,150.9269,White shark,Snorkelling,Injured,0900
1078,2018,1.0,WA,gracetown,-33.8627,114.9882,Other,Boarding,Injured,1800
1079,2018,1.0,QLD,lizard island,-14.6806,145.4441,Other,Snorkelling,Injured,
1080,2018,2.0,WA,"mandurah, avalon point",-32.5931,115.6372,Other,Spearfishing,Uninjured,
1081,2018,2.0,NSW,"kiama, surf beach",-34.6767,150.8545,Other,Other: Standing In Water,Injured,1620
1082,2018,2.0,WA,"perth, mullaoo beach, joondalup",-31.7789,115.7326,Other,Swimming,Injured,
1083,2018,2.0,WA,"rocky point, eagle bay",-33.5638,115.0629,Other,Snorkelling,Injured,
1084,2018,2.0,NSW,"sydney, botany bay, congwong beach",-33.9891,151.2351,White shark,Swimming,Injured,1900
1085,2018,3.0,WA,hamelin bay,-34.2256,115.0609,Tiger shark,Snorkelling,Uninjured,
1086,2018,3.0,VIC,"bells beach, winkipop",-38.3681,144.2858,Other,Boarding,Injured,
1087,2018,4.0,WA,"gracetown, lefthanders",-33.8795,114.9829,White shark,Boarding,Injured,1440
1088,2018,4.0,WA,"gracetown, cobblestones beach",-33.8747,114.9808,White shark,Boarding,Injured,
1089,2018,4.0,WA,"margaret river, main break",-33.9761,114.9844,White shark,Boarding,Uninjured,0930
1090,2018,5.0,WA,"gracetown, lefthanders",-33.8795,114.9829,White shark,Boarding,Uninjured,1130
1091,2018,6.0,NSW,"coffs harbor, arrawarra beach",-30.0584,153.1987,Other,Boarding,Injured,
1092,2018,6.0,NSW,"ballina, flat rock",-28.8442,153.6071,White shark,Boarding,Uninjured,
1093,2018,9.0,QLD,"whitsunday islands, cid harbour",-20.2499,148.9328,Tiger shark,Swimming,Injured,
1094,2018,9.0,QLD,"whitsunday islands, cid harbour",-20.2499,148.9328,Tiger shark,Swimming,Injured,
1095,2018,9.0,NT,"groote eylandt, arnhem land (east)",-13.97,136.5933,Bull shark,Spearfishing,Injured,
1096,2018,10.0,NSW,"port stephens, samurai beach",-32.7667,152.1267,Other,Swimming,Injured,
1097,2018,11.0,QLD,"whitsunday islands, cid harbour",-20.2499,148.9328,Other,Boarding,Fatal,
1098,2018,11.0,NSW,"sydney, manly, south steyne",-33.7986,151.2912,Other,Boarding,Injured,1640
1099,2018,11.0,NSW,"ballina, shelly beach",-28.8632,153.5944,White shark,Boarding,Injured,0645
1100,2018,11.0,QLD,"sunshine coast, moffat beach",-26.7873,153.1433,Tiger shark,Unmotorised Boating,Uninjured,630
1101,2018,11.0,NSW,"gerroa, seven mile beach",-34.7729,150.8137,Other,Boarding,Injured,1300
1102,2018,11.0,NT,nhulunbuy,-12.1825,136.7819,Other,Spearfishing,Injured,1000
1103,2018,11.0,WA,"mandurah, pyramids beach",-32.6044,115.6285,Other,Boarding,Injured,0900
1104,2018,12.0,NSW,"nambucca river entrance, the bar",-30.6494,153.0158,Other,,Injured,
1105,2018,12.0,NSW,"central coast, the entrance",-33.3482,151.5033,Other,Swimming,Injured,1100
1106,2019,1.0,WA,"perth, north cottesloe beach",-31.9893,115.7526,Other,Swimming,Injured,1130
1107,2019,2.0,WA,"yallingup, canal rocks",-33.6702,114.9951,White shark,Spearfishing,Uninjured,
1108,2019,2.0,NSW,"urunga, river mouth",-30.5037,153.0324,White shark,Boarding,Uninjured,615
1109,2019,2.0,NT,umbakumba - 12 km out to sea,-13.8611,136.8116,Other,,Injured,
1110,2019,2.0,NSW,"byron bay, belongi beach",-28.6337,153.6003,White shark,Boarding,Injured,0640
1111,2019,3.0,QLD,"whitsunday islands, block reef",-19.7491,149.3063,Other,Snorkelling,Injured,1230
1112,2019,4.0,NSW,"port stephens, tomaree",-32.7501,152.1459,Other,Spearfishing,Injured,1400
1113,2019,5.0,QLD,"norval park, bundaberg",-24.6083,152.1314,Bull shark,Swimming,Injured,1620
1114,2019,6.0,TAS,maatsuyker island,-43.6523,146.277,White shark,Diving,Uninjured,
1115,2019,6.0,NSW,lennox point,-28.8015,153.5978,Other,,Injured,
1116,2019,7.0,QLD,"cape grenville, far north queensland",-11.9667,143.2333,Tiger shark,Snorkelling,Injured,1830
1117,2019,7.0,NSW,"sydney, manly, shelly beach",-33.8004,151.2964,Other,Swimming,Injured,0530
1118,2019,7.0,QLD,"sunshine coast, bells creek",-26.8419,153.1133,Bull shark,Boarding,Injured,0700
1119,2019,7.0,NSW,"wooyung beach, far north coast",-28.4571,153.5559,Bull shark,Surfing,Injured,
1120,2019,9.0,NSW,"kiama, surf beach",-34.6767,150.8545,Other,,Injured,
